arquivo,assunto,decisao,destino,motivo,sha256_original
A8666A18-76D0-4935-A4B7-E074C3D46B00.jpeg,Capa inicial,Adaptada,capa_frente; capa_aberta_prova,Preservada a preferência por preto/dourado; corrigido o subtítulo.,640b1e002d623aac487274583271cd8c3e7c33c92d0f4529bc37d27d19057212
IMG_7917.jpeg,Capa alternativa,Fora da seleção,—,A autora escolheu a capa inicial.,23a9ef2ff1c25e9c067015c175d9a59e847151fc6a35104407452b363c9280b9
IMG_7923.jpeg,Cartaz vertical,Reservada para divulgação,—,Preço e chamada de compra não pertencem ao miolo.,2ce9fdb0b1ca33ce7c8c011ecc6bdbb25264926adff4fd8195ec2c0545806342
IMG_7924.jpeg,Cartaz reduzido,Fora da seleção,—,Variante redundante de menor resolução.,a34873adfb852d8c83fa5e5c43302069352730449624834119f66cab4903b0a8
IMG_7921.jpeg,Cartaz horizontal,Reservada para divulgação,—,"Função promocional, distinta da leitura.",cc04e86d7a3a3a3fd3a0fd11b374449b29bcd1a8f38d7f2f851f98b597c95b83
4EE2D3D7-1F13-405D-8E96-644326D7E549.jpeg,Padrões,Recomposta,06_padrao_e_metacognicao,Inclui condições externas e ponto de intervenção.,e66e977359068e4efdb31129f745e4c24736297dadd260cf727b7b1f652bc131
C9F475AE-7D25-4F98-862B-84B21ED42506.jpeg,Alinhamento,Recomposta,07_alinhamento_em_pratica,"Filtro significa exame, com revisão dos frutos.",c469631664553005bf9137f83f6cc8b4e0aebf28aafd30fa94e16226dea3f3c1
B21B56BE-FE00-49BB-997C-B952D874E091.jpeg,Raízes,Função incorporada,03_arvore_do_discernimento; 04_semente_solo_raizes_ambiente,Raízes não se resumem à dor nem explicam sozinhas os resultados.,9efea05667b8de6e371645462ed239107909154b72f321cef1c67c3412f4c5ea
B9737387-F955-4F72-AFFB-3D44C7B22949.jpeg,Filtro de oito termos,Recomposta,10_inspiracao_biblica; 08_filtro_1_a_6; 09_filtro_7_a_12,Separada a inspiração de Filipenses 4:8 do instrumento de doze perguntas.,63570a8e4dfd62f2dbe2b3d1d013a8877de82e555e1417cff1160cca2e599817
9FD38AAE-9355-4731-BCF1-4C0AD7E13623.jpeg,Três frutos,Adaptada,05_avaliacao_dos_frutos,Estados observados não certificam causa ou valor moral.,e46c4d35ace3e39ce35d284cb9b62d0a9d648defca6bd4284260e9980869ad83
357954B8-A2C2-48FA-986A-84EA847BF450.jpeg,Dicionário visual,Função incorporada,03_arvore_do_discernimento; 04_semente_solo_raizes_ambiente,Retirada duplicação e redução do resultado ao cultivo interno.,a59a325700a92f3b1d061b2977260bbb528f2eb5ab7873f556fae7be08ef515d
3599BA2A-1F4C-4CB2-B53A-20AB93777E36.jpeg,14 Leis antigas,Recomposta,11_leis_1_a_7; 12_leis_8_a_14,Ordem e nomes do arquivo canônico atual.,f2afb80c25ca2381dee87dec195937bf999ab98e90cdd4d68ba860ce917ec809
D731A67B-866B-4EA3-A456-840C2BE8DF3D.jpeg,Letreiro,Adaptada,letreiro_cor,Mensagem de dignidade sem linguagem que dê preço à pessoa.,08c4630d540343abc00b073d13f3a8e612fc71b2f5ad4a0bc1c24358dabcf0be
36FC21F1-5FF6-4760-883F-556F84638E31.jpeg,Jaula com figura,Função incorporada,17_jaula_e_sofa,Uma composição combina porta aberta e conforto interior.,0c916af72c431c316827b3a11f16d6507dc1ff1a8cd34b6bdf06935efc3d6cd2
1846277C-EF8F-494D-B448-472612ECB25F.jpeg,Pirangi,Adaptada,pirangi_cor,"Ilustração simbólica, não fotografia documental.",639fba571bb80f320e01177ff2d9b668f3548b3967614ec7a48026b388222103
7C85C8AE-5724-417A-B2B7-C119470D6802.jpeg,Autopiedade x autocompaixão,Recomposta,16_autopiedade_e_autocompaixao,Preserva responsabilidade possível e cuidado; prioridade da autora situada na sua história.,369197113302dd8e74c4796c3ad74ff9eb5335ac2510a21c6e123065848de14b
479BAAA8-2A19-48A1-B434-71FD97E0ACC4.jpeg,Sistema operacional,Função incorporada,04_semente_solo_raizes_ambiente; 06_padrao_e_metacognicao,Evita duplicação e equivalência literal entre cérebro e software.,4e06871f07609f2a3813c1b9165c13930a01b7dd29316954f8a0e21fb47566e4
A7BBEF47-B9A0-4233-8E97-D487F84A1F84.jpeg,Influência indevida,Recomposta,13_mapa_de_influencias,Oito dimensões do Workbook; sem prova diagnóstica de lavagem cerebral.,33bc9103089b20df524ef7d0ced48ec7880ad35d309343c5cb8f85d15fe8a758
5CC5A7F1-9A64-4A87-AC9C-7AD41E1947C0.jpeg,Testes e diagnósticos,Recomposta,20_workbook_porta_de_entrada,Três instrumentos centrais e ficha F17 complementar.,cda29aece78adefa88506208f7a23c8916a7f77ef56636cb500d8fc49f794c61
E7CF76A0-B25B-43DA-8F6C-CAB9D7E21480.jpeg,Desça da Árvore,Mantida,desca_da_arvore_cor,Função clara de retorno à vida e encerramento.,a64386d4dd71064fddf467e841e5ba1fe794e01518a253eeaa65dcdf4248cde5
7ED9EF3B-0A8E-454B-90AF-E191E74D3F87.jpeg,Árvore legendada,Recomposta,03_arvore_do_discernimento,"Cajueiro coerente, rótulos editáveis e distinção entre Solo e ambiente.",f0703f33e619096497b0aafc2f10e561518d9ddb99c042e25b54d069d5a6804a
480399D3-3983-4CFE-8471-80DEDCAB29D9.jpeg,Jaula sem texto,Função incorporada,17_jaula_e_sofa,Fundida à comunicação do Sofá e da porta; preservada como fonte.,30befa1db0c72d6dd271e9125ba35c9a4a8ba89c134a127ec48f568f7239fca2
B99831D3-5CCC-4E2E-9656-BFC69BACD6B4.jpeg,Sistema operacional com figura,Função incorporada,04_semente_solo_raizes_ambiente; 06_padrao_e_metacognicao,Retirada redundância e leitura determinista.,8403ea1d978783eddcd7e2603f6b38848e55689675ec7d8f3e62dfa817d1f0a0
4D5856E2-2819-4C0C-AC8B-E8F1372F9302.jpeg,14 tipos antigos,Recomposta,14_espelhos_1_a_7; 15_espelhos_8_a_14,"Espelhos contextuais, não identidades ou diagnósticos.",5f93ce7c5a4154c3c41fd6932517c1869c6677d896695598299ae91dbf525d82
CA1E96FB-1AAA-4910-A0B0-7EA2792EB33B.jpeg,Autopiedade como pessoa infestada,Substituída,autopiedade_base_cor; 16_autopiedade_e_autocompaixao,Retirada associação visual entre pessoa e praga.,77d0d6d461a8a9d9fa4de59e496445694e81c476486e99262be948edc151d28b
9E7F956F-023C-4E88-AFA8-5018D563E39D.jpeg,Árvore ornamental,Reservada como referência,arvore_base_cor,Evita repetir árvore inteira sem nova função.,9bdd923d495c0ddb90512c74054dc4cf9083a5981a41d72da7b75a41b791f867
333113F6-ED0D-442B-A486-727D672BA1C6.jpeg,Sofá,Função incorporada,jaula_sofa_cor; 17_jaula_e_sofa,Preservado conforto simbólico dentro da Jaula aberta.,b3adf9d408652d76013f6fea86c07eb567fba8a7c32b6d0e0499e545d5db0480
653C7576-67D0-403E-B082-2AC74B7FC597(1).jpeg,Retrato de Sol Lima,Editada,retrato_autora_pb,Ajustes preservando identidade; a fonte recebida já era P&B.,6f65fbe17f6860da71d6c4864ec5d1e6d56e74ad6cb78f29e21dd5700117d9c1
