id,livro,titulo,origem,arquivo_origem,sha256,largura_px,altura_px,inspecao,destino_proposto,acao,aprovacao_autora,incorporacao_atual
RS-LEG-01,2,Mapa da Travessia,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/01_Figura_Mapa_da_Travessia_percurso_do_despertar_à_vida_prática.jpg,fb9bffae0111c56359e6b365993f6dc178105ed5ee15810b951c299c547f3af7,1055,1491,inspecionada,Pré-livro,Recompor percurso: investigação começa no Fruto; não reproduzir ordem antiga como sequência obrigatória.,pendente para esta edição,não incorporada
RS-LEG-02,2,Mapa Mental,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/02_Figura_Mapa_Mental_do_Livro_eixos_centrais_do_método.jpg,5609e9cbae63f4941e43c2899b4aff500b2f94b8db90570e984ff5d34757358f,1055,1491,inspecionada,Pré-livro,Atualizar sete Partes e 28 capítulos; mapa antigo enumera oito eixos que não correspondem à estrutura atual.,pendente para esta edição,não incorporada
RS-LEG-03,2,Legenda do Método,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/03_Figura_Legenda_do_Método_símbolos_para_acompanhar_a_leitura.jpg,4ac54a82b6dd3f74455c3f4dc48ab8115caa044b5454af10de21ebf7ee700347,1055,1491,inspecionada,Pré-livro,"Revisar numeração, termos e uso de Pragas; a Nova Semente aparece com número repetido na arte.",pendente para esta edição,não incorporada
RS-LEG-04,2,"Sua árvore, seus frutos",https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/04_Figura_Sua_árvore_seus_frutos_síntese_visual_do_método.jpg,675c28539bd78d69eff0c591677ee1b517a37c06def6a3d7a529a6d940335c07,1055,1491,inspecionada,Abertura / fechamento,Preservar âncora; evitar repetir árvore inteira sem nova função.,pendente para esta edição,não incorporada
RS-LEG-05,2,Árvore do Discernimento,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/05_Figura_Árvore_do_Discernimento_mapa-base_do_processo.jpg,9dc8195c3f1f66c0d97c8b07a60bea06cc0b2ef1a762a245c274bf27a46fbf87,1055,1491,inspecionada,Após primeira aplicação / Parte II,Preservar imagem central; adequar definições e incorporar Mirante/Filtro sem lotar a arte; distinguir cultivo de investigação.,pendente para esta edição,não incorporada
RS-LEG-06,2,14 Leis,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/06_Figura_As_14_Leis_do_Posicionamento_princípios_de_decisão_consciente.jpg,cf29ae54c3573e1951d28233f4491bea54b4a7a20648701b48f6b957a8f453d8,1055,1491,inspecionada,Síntese / remissões nos capítulos,Recompor com ordem canônica atual. Lei 12 = Exerça Seu Próprio Discernimento; a arte antiga traz Cumpra Seu Dever. Texto editável e legibilidade.,pendente para esta edição,não incorporada
RS-LEG-07,2,Solo,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/07_Cajueiro_jovem_sobre_camadas_de_solo_representa_os_ambientes_influências_e_exper.jpg,c6c62f46bfd6d97eedafcee58a8382feccabcddf3cdd1e48c328326d780ed43c,1055,1491,inspecionada,Parte II / capítulo 6,A arte diz Parte I; corrigir para a arquitetura atual. Ambiente não equivale a caráter.,pendente para esta edição,não incorporada
RS-LEG-08,2,"Pensamento, Caráter e Posicionamento",https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/08_Figura_Pensamento_Caráter_e_Posicionamento_da_semente_ao_fruto.jpg,5ff9d56b99c13d29c503f153cff2e0d16c3ae71710935a0107f0685d19bbbe01,1055,1491,inspecionada,"Capítulo 23, se necessária",Comparar com Sistema Operacional e Padrões; cadeia linear e associação semente=pensamento diferem do cânone atual.,pendente para esta edição,não incorporada
RS-LEG-09,2,Sistema Operacional Interno,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/09_Figura_Sistema_Operacional_Interno_crenças_filtros_decisões_e_frutos.jpg,a5e0079ed9a73fb7742af889a9b454a4f4295ae93492b631e2fa429c92fb7647,1086,1448,inspecionada,Capítulo 6,Preservar função de configuração aprendida e compatibilizar com Celular Configurado; não ilustrar cérebro como software literal.,pendente para esta edição,não incorporada
RS-LEG-10,2,Checkpoint da Árvore,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/10_Figura_Checkpoint_da_Árvore_pare_observe_e_responda.jpg,96d6111730d8de9b71c71fc8291a941a6686de26166f8e7e7bcacde5e86c6045,1055,1491,inspecionada,Após primeira aplicação / retomadas,Preservar; incluir contexto e desconhecido em texto adjacente; não saltar diretamente da raiz à poda.,pendente para esta edição,não incorporada
RS-LEG-11,2,Raízes,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/11_Figura_Raízes_crenças_dores_e_lealdades.jpg,c789a8026f4b07a32dd1045f60fded1364b8dca87c3feffe77870a916cd5c7be,1086,1448,inspecionada,Capítulos 7–8,Atualizar crenças/hábitos/lealdades atuais; não reduzir a raiz à dor de origem nem prometer causalidade única.,pendente para esta edição,não incorporada
RS-LEG-12,2,Tronco,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/12_Figura_Parte_III_O_Tronco_sustentação_limite_e_coerência.jpg,512c4f4fd86c7740ab41963cb3462d8cf9a7bae70410b9d26ec2916b212fe100,1055,1491,inspecionada,Parte III / capítulo 9,Preservar sustentação/limite/coerência; manter grafia e tipografia comuns.,pendente para esta edição,não incorporada
RS-LEG-13,2,Galhos,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/13_Figura_Galhos_onde_o_padrão_aparece.jpg,aedfd1f945f4f75b3f15435fe0639c43591b926f9959eedeff8b7cd2c1f1f6d2,1055,1491,inspecionada,Capítulo 13,"Ampliar correspondência com áreas do texto atual: carreira, marca, vida pública, redes; evitar prometer que tudo revela uma raiz única.",pendente para esta edição,não incorporada
RS-LEG-14,2,Frutos,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/14_Figura_Frutos_evidência_não_sentença.jpg,7e75a668e4673a6dd5525d9b3e717003c2827cbe8b8ecc153734403f05ea961e,1055,1491,inspecionada,Capítulo 2 / retorno no 28,"Preservar observação; rever classificação deterioração=negligência, incompatível com leitura contextual atual.",pendente para esta edição,não incorporada
RS-LEG-15,2,Autopiedade × Autocompaixão,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/15_Figura_Autopiedade_x_Autocompaixão_duas_respostas_internas.jpg,74250851b47f299c51bae9000da15eebacd0dcca37dbf5f69877b333eaeded7a,1086,1448,inspecionada,Capítulo 17,Preservar distinção; revisar oposições moralizantes e frases absolutas; não retratar pessoa como praga.,pendente para esta edição,não incorporada
RS-LEG-16,2,Cajueiro de Pirangi,https://chatgpt.com/api/library/files/libfile_42d31742471481918455a28d10fc5d13/download,BANCO_DE_IMAGENS_REPOSICIONESE_V1_7_1/01_USADAS_NO_LIVRO/16_Mulher_de_costas_diante_do_Cajueiro_de_Pirangi_ao_entardecer_a_copa_ampla_repres.jpeg,639fba571bb80f320e01177ff2d9b668f3548b3967614ec7a48026b388222103,1024,1536,inspecionada,Pré-livro / epílogo,"Preservar referência; tratar arte como simbólica, sem certificar retrato do local ou cena biográfica; conferir fidelidade caso se escolha representação factual.",pendente para esta edição,não incorporada
